2026-01-04 09:51:51,501 | INFO | Starting Phase 2
2026-01-04 09:52:27,746 | INFO | Starting Phase 2
2026-01-04 09:54:14,301 | INFO | Starting Phase 2
2026-01-04 09:55:30,739 | INFO | Starting Phase 2
2026-01-04 09:55:33,306 | INFO | Page 1 scale_x=4.17, scale_y=4.17
2026-01-04 09:55:33,370 | INFO | Page 1: 1 table(s) detected
2026-01-04 09:55:33,370 | INFO | Page 2 scale_x=4.17, scale_y=4.17
2026-01-04 09:55:33,410 | INFO | Page 2: 1 table(s) detected
2026-01-04 09:55:33,410 | INFO | Page 3 scale_x=4.17, scale_y=4.17
2026-01-04 09:55:33,448 | INFO | Page 3: 1 table(s) detected
2026-01-04 09:55:33,449 | INFO | Phase 2 completed successfully
2026-01-04 09:56:01,711 | INFO | Starting Phase 2
2026-01-04 09:56:02,368 | INFO | Page 1 scale_x=4.17, scale_y=4.17
2026-01-04 09:56:02,421 | INFO | Page 1: 1 table(s) detected
2026-01-04 09:56:02,422 | INFO | Page 2 scale_x=4.17, scale_y=4.17
2026-01-04 09:56:02,462 | INFO | Page 2: 1 table(s) detected
2026-01-04 09:56:02,462 | INFO | Page 3 scale_x=4.17, scale_y=4.17
2026-01-04 09:56:02,513 | INFO | Page 3: 1 table(s) detected
2026-01-04 09:56:02,513 | INFO | Phase 2 completed successfully
2026-01-04 09:58:05,124 | INFO | Starting Phase 2
2026-01-04 09:58:05,728 | INFO | Page 1 scale_x=4.17, scale_y=4.17
2026-01-04 09:58:05,773 | INFO | Page 1: 1 table(s) detected
2026-01-04 09:58:05,773 | INFO | Page 2 scale_x=4.17, scale_y=4.17
2026-01-04 09:58:05,811 | INFO | Page 2: 1 table(s) detected
2026-01-04 09:58:05,811 | INFO | Page 3 scale_x=4.17, scale_y=4.17
2026-01-04 09:58:05,850 | INFO | Page 3: 1 table(s) detected
2026-01-04 09:58:05,850 | INFO | Phase 2 completed successfully
2026-01-04 11:56:35,167 | INFO | Starting Phase 3
2026-01-04 11:58:20,233 | INFO | Starting Phase 3
2026-01-04 11:58:23,615 | INFO | Page 1: 1 table(s)
2026-01-04 11:58:23,619 | INFO | Page 1 | Table 1: 9 cells detected
2026-01-04 11:58:23,658 | INFO | Page 2: 1 table(s)
2026-01-04 11:58:23,659 | INFO | Page 2 | Table 1: 16 cells detected
2026-01-04 11:58:23,702 | INFO | Page 3: 1 table(s)
2026-01-04 11:58:23,704 | INFO | Page 3 | Table 1: 37 cells detected
2026-01-04 11:58:23,705 | INFO | Phase 3 completed successfully
